# real space correlation function weights for Xi_+ in Real space
# lowest theta boundary = 2.0
# highest theta boundary = 300.0
# number of theta bins = 9
# type of binning = log
# theta[arcmin]      R(theta)
2.033854938313462757e+00 0.000000000000000000e+00
2.033956850939172334e+00 0.000000000000000000e+00
2.034058768671531237e+00 0.000000000000000000e+00
2.034160691510794816e+00 0.000000000000000000e+00
2.034262619457219312e+00 0.000000000000000000e+00
2.034364552511060520e+00 0.000000000000000000e+00
2.034466490672574235e+00 0.000000000000000000e+00
2.034568433942016252e+00 0.000000000000000000e+00
2.034670382319643256e+00 0.000000000000000000e+00
2.034772335805710597e+00 0.000000000000000000e+00
2.034874294400474071e+00 0.000000000000000000e+00
2.034976258104190361e+00 0.000000000000000000e+00
2.035078226917114819e+00 0.000000000000000000e+00
2.035180200839503684e+00 0.000000000000000000e+00
2.035282179871613195e+00 0.000000000000000000e+00
2.035384164013699149e+00 0.000000000000000000e+00
2.035486153266017340e+00 0.000000000000000000e+00
2.035588147628824451e+00 0.000000000000000000e+00
2.035690147102376280e+00 0.000000000000000000e+00
2.035792151686928619e+00 0.000000000000000000e+00
2.035894161382738154e+00 0.000000000000000000e+00
2.035996176190060680e+00 0.000000000000000000e+00
2.036098196109151992e+00 0.000000000000000000e+00
2.036200221140268773e+00 0.000000000000000000e+00
2.036302251283666820e+00 0.000000000000000000e+00
2.036404286539602815e+00 0.000000000000000000e+00
2.036506326908332110e+00 0.000000000000000000e+00
2.036608372390111832e+00 0.000000000000000000e+00
2.036710422985197333e+00 0.000000000000000000e+00
2.036812478693845296e+00 0.000000000000000000e+00
2.036914539516311962e+00 0.000000000000000000e+00
2.037016605452853568e+00 0.000000000000000000e+00
2.037118676503726356e+00 0.000000000000000000e+00
2.037220752669186119e+00 0.000000000000000000e+00
2.037322833949489986e+00 0.000000000000000000e+00
2.037424920344893753e+00 0.000000000000000000e+00
2.037527011855653658e+00 0.000000000000000000e+00
2.037629108482025941e+00 0.000000000000000000e+00
2.037731210224267286e+00 0.000000000000000000e+00
2.037833317082633933e+00 0.000000000000000000e+00
2.037935429057382120e+00 0.000000000000000000e+00
2.038037546148768531e+00 0.000000000000000000e+00
2.038139668357049406e+00 0.000000000000000000e+00
2.038241795682480539e+00 0.000000000000000000e+00
2.038343928125319504e+00 0.000000000000000000e+00
2.038446065685821651e+00 0.000000000000000000e+00
2.038548208364244108e+00 0.000000000000000000e+00
2.038650356160842669e+00 0.000000000000000000e+00
2.038752509075874908e+00 0.000000000000000000e+00
2.038854667109595731e+00 0.000000000000000000e+00
2.038956830262263153e+00 0.000000000000000000e+00
2.039058998534132972e+00 0.000000000000000000e+00
2.039161171925461424e+00 0.000000000000000000e+00
2.039263350436505640e+00 0.000000000000000000e+00
2.039365534067521413e+00 0.000000000000000000e+00
2.039467722818765871e+00 0.000000000000000000e+00
2.039569916690495699e+00 0.000000000000000000e+00
2.039672115682967135e+00 0.000000000000000000e+00
2.039774319796436863e+00 0.000000000000000000e+00
2.039876529031161567e+00 0.000000000000000000e+00
2.039978743387397486e+00 0.000000000000000000e+00
2.040080962865401748e+00 0.000000000000000000e+00
2.040183187465430592e+00 0.000000000000000000e+00
2.040285417187741146e+00 0.000000000000000000e+00
2.040387652032589649e+00 0.000000000000000000e+00
2.040489892000233230e+00 0.000000000000000000e+00
2.040592137090928126e+00 0.000000000000000000e+00
2.040694387304931023e+00 0.000000000000000000e+00
2.040796642642499048e+00 0.000000000000000000e+00
2.040898903103888440e+00 0.000000000000000000e+00
2.041001168689356327e+00 0.000000000000000000e+00
2.041103439399159836e+00 0.000000000000000000e+00
2.041205715233554763e+00 0.000000000000000000e+00
2.041307996192798235e+00 0.000000000000000000e+00
2.041410282277147381e+00 0.000000000000000000e+00
2.041512573486858884e+00 0.000000000000000000e+00
2.041614869822189871e+00 0.000000000000000000e+00
2.041717171283396137e+00 0.000000000000000000e+00
2.041819477870735700e+00 0.000000000000000000e+00
2.041921789584464797e+00 0.000000000000000000e+00
2.042024106424840557e+00 0.000000000000000000e+00
2.042126428392119220e+00 0.000000000000000000e+00
2.042228755486558800e+00 0.000000000000000000e+00
2.042331087708415538e+00 0.000000000000000000e+00
2.042433425057946117e+00 0.000000000000000000e+00
2.042535767535408109e+00 0.000000000000000000e+00
2.042638115141058197e+00 0.000000000000000000e+00
2.042740467875153065e+00 0.000000000000000000e+00
2.042842825737949841e+00 0.000000000000000000e+00
